Fund,Amc,Product,Aum,Returns 1 Yr,Returns 3 Yr,Returns 5 Yr,Returns 3 Months,Asset Class,Classification Name,Sharpe Ratio 1 Yr,Sharpe Ratio 3 Yr,Sortino 1 Yr,Sortino 3 Yr,Max Drawdown Perc 1yr,Max Drawdown Duration Days 1yr,Max Drawdown Duration Days 3yr,Max Drawdown Perc 3yr,Max Drawdown Time To Recovery Days 1yr,Max Drawdown Time To Recovery Days 3yr,Expense Ratio,Fund Manager,Inception Date,Pb Ratio,Pe Ratio,Returns Since Inception,Std 1 Yr,Std 3 Yr,Treynor Ratio 1 Yr,Treynor Ratio 3 Yr,Alpha 1 Yr,Alpha 3 Yr,Benchmark Name,Beta 1 Yr,Beta 3 Yr,Scheme Rolling Min 1 Yr,Scheme Rolling Negative 1 Yr,Scheme Rolling Negative 3 Yr,Scheme Rolling Negative 5 Yr,Scheme Rolling Neutral 1 Yr,Scheme Rolling Neutral 3 Yr,Scheme Rolling Neutral 5 Yr,Scheme Rolling Positive 1 Yr,Scheme Rolling Positive 3 Yr,Scheme Rolling Positive 5 Yr
Right Horizon - Minerva India Under-Served,Right Horizons Pvt Ltd,PMS,90,0.84,49.34,15.91,3.77,Equity,Equity: Small Cap,-0.08,1.52,-0.16,3.98,,,,,,,,Piyush Sharma,8-Apr-11,0,0,14.9,17.91,24.48,-1.52,34.59,-8.48,16.66,NIFTY 50 Total Return Index,0.78,1.05,-38.78,15.79,12.02,2.32,1.36,2.84,1.2,82.85,85.14,96.47
Motilal Oswal - BOP,Motilal Oswal Asset Management,PMS,1495.25,32.19,22.24,20.2,3.58,Equity,Equity: Multi Cap,1.81,1.05,3.93,2.36,,,,,,,,Atul Mehra,18-Dec-17,10.08,91.77,16.06,12.23,13.68,,,,,S&P BSE 500 Total Return Index,,,-26.17,17.33,0,0,5.47,0,0,77.2,100,100
ASK - ISP,ASK Investment Managers,PMS,1425.54,-2.56,8.33,13.41,3.1,Equity,Equity: Multi Cap,-0.32,0.23,-0.42,0.31,-21.82,79,152,-24.04,,,,"Chetan Thacker, Kuldeep Gangwar",4-Jan-10,3.97,30.5,14.39,19.97,15.43,-4.85,3.32,-7.11,-7.47,S&P BSE 500 Total Return Index,1.33,1.07,-22.11,24.4,0.77,0,2.9,0.51,0,72.71,98.72,100
ASK - IEP,ASK Investment Managers,PMS,9478.57,2.75,9.19,15.29,2.65,Equity,Equity: Multi Cap,-0.16,0.3,-0.29,0.52,-12.75,79,152,-19,76,,,"Sumit Jain, Chetan Thacker",25-Jan-10,4.8,48.36,16.31,13.43,13.23,-2.39,4.38,-2.65,-5.43,S&P BSE 500 Total Return Index,0.91,0.92,-23.25,15.96,0.13,0,3.93,0.19,0,80.11,99.68,100
Buoyant - Opportunities,Buoyant Capital,PMS,6954.07,15.22,24.86,33.2,4.8,Equity,Equity: Flexi Cap,0.65,1.3,1.13,2.55,-12.55,82,155,-13.73,76,94,,Sachin Khivasara,1-Jun-16,3.25,25.64,22.18,14.67,12.7,9.6,19.88,9.09,7.97,S&P BSE 500 Total Return Index,1,0.83,-42.73,19.22,12.75,0,1.66,0.85,0,79.12,86.4,100
Pelican PE fund,Pelican PMS,PMS,52.18,12.39,14.04,13.27,8.16,Equity,Equity: Large Cap,0.64,0.78,0.86,1.15,-10.25,83,159,-16.25,72,196,,Deepak Radhakrishnan,13-Jun-18,6.03,54.36,12.04,10.43,10.59,8.31,9.73,4.81,1.37,NIFTY 50 Total Return Index,0.81,0.85,-9.33,5.14,0,0,6.9,0,0,87.96,100,100
Quest - Multi,Quest Investment Advisors ,PMS,1284.66,-0.58,20.28,23.15,2.22,Equity,Equity: Multi Cap,-0.18,0.84,-0.2,1.06,-24.71,77,139,-25.02,,,,Aniruddha Sarkar,3-Aug-14,,,16.39,22.01,17.08,-2.99,12.85,-4.62,2.85,S&P BSE 500 Total Return Index,1.32,1.12,-33.94,23.8,5.48,0,4.81,0.76,0,71.39,93.76,100
Quest - Flagship,Quest Investment Advisors ,PMS,583.68,-3.08,15.91,19.33,-0.65,Equity,Equity: Multi Cap,-0.37,0.67,-0.41,0.88,-22.98,77,77,-22.98,,,,Rakesh Vyas,12-Oct-07,,,16.28,19.1,15.65,-6.34,10.46,-7.6,0.15,S&P BSE 500 Total Return Index,1.11,1,-48.86,29.97,7.22,0,3.45,1.05,0,66.58,91.73,100
Tamohara - TLES,Tamohara Investment Managers,PMS,36.96,21.54,13.04,17,12.9,Equity,Equity: Mid & Small Cap,1.02,0.47,2.52,0.87,,,,,,,,Sheetal Malpani,6-Oct-15,3.87,28.5,12.32,13.34,13.57,19.22,8.33,-1.91,-1.6,S&P BSE 500 Total Return Index,0.71,0.76,-26.81,22.08,7.54,0,4.03,1.57,0,73.89,90.89,100
Tamohara - TIOS,Tamohara Investment Managers,PMS,42.05,-2.16,9.1,14.29,2.21,Equity,Equity: Multi Cap,-0.66,0.3,-0.95,0.52,-17.72,117,161,-22.69,,,,Sheetal Malpani,18-Mar-16,3.93,25.91,10.58,13.97,12.85,-9.35,4.14,-11.5,-3.75,NIFTY 50 Total Return Index,0.98,0.94,-26.85,23.02,5.58,0,3.49,2.48,0,73.49,91.94,100
Concept Investwell - Legend,Concept Investwell Pvt Ltd,PMS,24.22,-0.53,8.31,13.67,2.66,Equity,Equity: Large Cap,-0.31,0.33,-0.45,0.53,-16.07,81,159,-20.42,,,,Siddharth Mandalaywala,28-Jul-09,3.59,26.28,11.77,13.85,12.82,-4.74,4.74,-4.82,-4.94,S&P BSE 500 Total Return Index,0.92,0.89,-28.64,25.78,4.21,0.44,3.57,0.8,0.19,70.65,94.98,99.37
Concept Investwell - Marvel,Concept Investwell Pvt Ltd,PMS,4.43,-2.61,11.41,14.5,-1.47,Equity,Equity: Mid Cap,-0.48,0.45,-0.6,0.76,-16.66,82,161,-19.75,,,,Siddharth Mandalaywala,10-Oct-09,3.91,35.51,10.27,15.01,14,-7.22,6.62,-7.74,-3.53,S&P BSE 500 Total Return Index,1,0.96,-34.17,28.87,14.78,2.9,3.07,1.19,0.92,68.06,84.03,96.19
Equirus Securities - Long Horizon Fund,Equirus Wealth Pvt Ltd,PMS,391.46,-5.74,15.73,22.35,1.98,Equity,Equity: Small Cap,-0.37,0.52,-0.42,0.87,-27.42,84,138,-30.93,,,,Sahil Shah,20-Oct-16,3.3,25.4,20.47,24.03,22.17,-6.07,9.36,-9.54,-1.18,S&P BSE 500 Total Return Index,1.45,1.24,-32.41,31.63,0.82,0,2.66,0.09,0,65.71,99.09,100
Silver Arch - India Equity Portfolio,Silver Arch Investments,PMS,45.88,-6.71,21.79,23.16,-0.28,Equity,Equity: Multi Cap,-0.39,0.81,-0.67,1.42,-26.01,82,138,-27.72,,,,Sanjeev Patni,4-Sep-17,7.32,40.35,12.56,24.97,20.17,-6.28,13.57,-10.48,3.9,S&P BSE 500 Total Return Index,1.54,1.2,-32.45,36.41,5.46,0,4.55,2.28,0,59.04,92.25,100
Silver Arch - Mid & Small Cap Equity Portfolio,Silver Arch Investments,PMS,0.71,65.41,26.84,23.47,22.78,Equity,Equity: Multi Cap,2.33,1.04,7.44,2.07,,,,,,,,Sanjeev Patni,5-Feb-18,5.04,35.36,15.06,19.91,17.9,48.19,20.14,25.24,9.01,S&P BSE 500 Total Return Index,0.96,0.93,-42.04,42.47,2.01,0,1.67,1.21,0,55.85,96.78,100
Motilal Oswal - Value Migration,Motilal Oswal Asset Management,PMS,3635.88,1.3,23.83,22.58,1.08,Equity,Equity: Multi Cap,-0.05,0.97,-0.07,1.11,-27.31,77,77,-27.31,,,,Vaibhav Agrawal,18-Feb-03,8.74,73.83,19.77,25.73,18.04,-0.87,15.79,-2.13,6.1,S&P BSE 500 Total Return Index,1.54,1.11,-50.71,19.72,4.4,0.71,4.28,0.79,0.06,76.01,94.8,99.23
360 One - Multicap Advantage PMS,360 ONE Asset Management,PMS,445.13,27.24,13.96,14.95,1.13,Equity,Equity: Multi Cap,1.61,0.5,2.41,1,,,,,,,,Anup Maheshwari,1-Dec-17,4.52,27.06,11.11,10.51,11.81,17.84,7.11,-8.56,-2.99,S&P BSE 500 Total Return Index,0.95,0.83,-11.67,21.05,0,0,5.7,0,0,73.25,100,100
Invesco - Dawn,Invesco Asset Management (I) Pvt Ltd,PMS,253.6,-3.46,14.63,20.43,1.65,Equity,Thematic,-0.54,0.65,-0.82,1.02,-18.97,120,193,-22.75,,,,Neelesh Dhamnaskar,28-Aug-17,4.47,28.38,10.41,15.06,13.85,-7.92,9.02,-8.6,-1.29,S&P BSE 500 Total Return Index,1.02,1,-33.66,26.77,4.97,0,5.23,0.42,0,68,94.61,100
Kotak India Focus Portfolio - series I,Kotak Mahindra Asset Management company Ltd,PMS,788.21,5.72,19.75,25.94,3.4,Equity,Equity: Multi Cap,0.06,0.95,0.09,1.59,-15.54,79,79,-15.54,203,203,,Kotak PMS,3-Jul-12,4.52,30.12,15.53,15.04,13.68,0.84,13.85,-1.58,5.4,NIFTY 50 Total Return Index,1.05,0.94,-42.52,28.37,17.06,5.22,3.29,0.42,0.56,68.34,82.51,94.22
Core Value Strategy-Concentrated Option,BugleRock Capital Pvt Ltd,PMS,170.82,6.27,16.82,20.87,2.15,Equity,Equity: Multi Cap,0.09,0.93,0.17,1.72,-11.01,61,156,-13.96,76,115,,E A Sundaram,15-Apr-19,5.61,29.73,15.6,12.31,11.4,1.46,13.78,0.72,2.67,S&P BSE 500 Total Return Index,0.77,0.77,-16.88,8.68,0,0,2.71,0,0,88.6,100,100
ACE PRO - Large Cap,Acepro Advisors Pvt Ltd,PMS,5.14,6.38,13.41,15.89,1.87,Equity,Equity: Large Cap,0.1,0.63,0.23,1.31,-12.59,113,193,-14.84,49,79,,Rajesh Kumar Rawat,15-Feb-19,3.89,27.41,13.95,14.08,12.19,1.31,7.76,-1.17,-0.35,NIFTY 50 Total Return Index,1.12,0.99,-27.78,10.02,0,0,3.74,0,0,86.24,100,100
Bonanza - Growth,Bonanza Portfolio Ltd,PMS,26.45,4.09,13.65,16.88,7.2,Equity,Equity: Large & Mid Cap,-0.03,0.74,-0.04,1.16,-14.98,112,190,-17.79,207,,,Achin Goel,6-Apr-10,4.86,29.88,17.18,15.93,13.01,-0.46,10.41,-2.76,2.12,NIFTY 50 Total Return Index,0.98,0.93,-26.25,17.39,0,0,5.63,0,0,76.97,100,100
Green Portfolio - Special,Green Portfolio Pvt Ltd,PMS,331.98,-1.32,18.97,27.64,1.84,Equity,Equity: Multi Cap,-0.21,0.69,-0.25,1.06,-23.49,117,117,-23.49,,,,Divam Sharma,12-Jul-18,6.66,67.08,23.51,22.32,19.88,-3.54,11.74,-5.29,1.67,S&P BSE 500 Total Return Index,1.31,1.17,-18.57,11.37,0,0,3.73,0,0,84.9,100,100
Green Portfolio - Dividend Yield Fund,Green Portfolio Pvt Ltd,PMS,24.22,11.76,34.21,35.36,8.55,Equity,Thematic,0.36,1.18,0.41,1.76,-22.14,77,77,-22.14,199,199,,Divam Sharma,23-Sep-19,3.35,18.29,31.47,21.62,21.7,5.76,21.27,7.06,13.24,S&P BSE 500 Total Return Index,1.34,1.21,-6.93,3.32,0,0,3,0,0,93.68,100,100
Right Horizon - Alphabots ,Right Horizons Pvt Ltd,PMS,7.61,0.26,13.33,,0.46,Equity,Thematic,-0.07,0.49,-0.13,0.67,,,,,,,,Mukul,1-May-19,3.09,29.99,11.39,21.82,23.49,,,-3.06,-1.04,NIFTY 50 Total Return Index,1.13,0.93,-24.07,24.39,0,,5.02,0,,70.59,100,
Right Horizon - India Business Leaders,Right Horizons Pvt Ltd,PMS,40.34,0.47,15.92,19.9,1.81,Equity,Equity: Large Cap,-0.18,0.74,-0.26,1.12,-20.42,75,155,-22.48,,,,Anil Rego,15-Nov-12,5.49,36.02,11.44,19.01,15.31,-2.44,9.88,-6.77,2.01,NIFTY 50 Total Return Index,1.42,1.14,-31.04,25.89,6.38,1.34,5.63,0.36,0.34,68.48,93.27,98.32
Narnolia - MultiCap Strategy,Narnolia Financial Advisors Ltd,PMS,350.73,4.3,11.54,15.71,4.85,Equity,Equity: Multi Cap,0.01,0.47,0.01,0.78,-17.22,85,155,-19.55,230,,,Shailendra Kumar,28-Mar-12,3.86,32.38,15.55,17.47,14.13,0.1,6.25,-2.96,-1.99,NIFTY 50 Total Return Index,1.32,1.07,-31.66,18.41,3.67,0,4.41,0.67,0,77.18,95.66,100
Anand Rathi Advisors - MNC PMS,Anand Rathi Advisors,PMS,155.68,-5.5,10.7,15.35,-1.33,Equity,Thematic,-0.59,0.41,-1.03,0.7,-20.72,152,173,-24.41,,,,Mayur Shah,27-Mar-18,10.16,48.75,11.87,16.89,13.3,-9.95,6.59,-10.55,-3.05,S&P BSE 500 Total Return Index,1.01,0.82,-11.41,15.6,0,0,5.72,0,0,78.68,100,100
Compound Everyday Capital - Long Term Focused Value,Compound Everyday Capital,PMS,29.95,-4.27,7.53,,-3.81,Equity,Equity: Multi Cap,-0.56,0.28,-1.49,0.27,,,,,,,,Sumit Sarda,23-Jul-19,1.7,21.9,11.67,13.31,19.02,-9.64,7.05,-5.5,-4.6,S&P BSE 200 Index,0.77,0.75,-7.62,19.37,0,,5.09,0,,75.54,100,
Edelweiss - Focused Mid & Small Cap,Edelweiss Asset Management Ltd,PMS,22.16,3.01,11,20.27,5.03,Equity,Equity: Mid & Small Cap,-0.02,0.37,-0.02,0.5,-25.03,118,195,-27.52,,,,Yashodhan Nerurkar,3-Aug-15,4,48.21,10.24,21.89,17.13,-0.29,5.95,-3.66,-2.29,NIFTY 50 Total Return Index,1.39,1.06,-34.97,34.64,22.17,0.89,3.26,1.59,0.05,62.11,76.25,99.06
Aditya Birla Sun Life (ABSL) - SSP,Aditya Birla Sun Life AMC Ltd. PMS,PMS,514.44,7.3,25.6,30.8,-0.7,Equity,Equity: Mid & Small Cap,0.17,1.23,0.26,1.63,-20.27,76,76,-20.27,94,94,,"Sameer Narayan, Salvin Shah ",6-Oct-09,5.32,35.83,17.3,20.85,15.17,2.67,19.47,2.84,8.75,S&P BSE 500 Total Return Index,1.32,0.96,-34.99,24.25,15.52,1.88,2.87,1.63,0.77,72.88,82.85,97.35
Aditya Birla Sun Life (ABSL) - Top 200 Core Equity Portfolio (CEP),Aditya Birla Sun Life AMC Ltd. PMS,PMS,98.42,1.4,13.7,19.2,3.1,Equity,Equity: Large Cap,-0.22,0.63,-0.37,0.99,-15.1,74,155,-20.39,119,,,Salvin Shah,27-May-15,4.35,27.62,12.8,14.78,12.83,-2.73,8.06,-6.1,-0.06,NIFTY 50 Total Return Index,1.2,1,-23.98,11,0.26,0,5.43,0.26,0,83.58,99.48,100
Ambit Investment Advisors - Coffee Can,Ambit Investment Advisors  Limited,PMS,1260.81,7.4,11.55,14.3,0.92,Equity,Equity: Large Cap,0.2,0.5,0.33,0.84,-15.96,1,182,-21.06,,,,Siddharth Bothra,6-Mar-17,7.58,48.52,14.5,12.51,12.29,2.83,6.93,0.43,-1.06,NIFTY 50 Total Return Index,0.89,0.89,-14.6,13.16,0,0,3.25,0,0,83.59,100,100
Ambit Investment Advisors - Emerging Giants,Ambit Investment Advisors  Limited,PMS,168.35,-18.76,3.55,13.64,-8.79,Equity,Equity: Small Cap,-0.9,-0.01,-1.33,-0.02,-27.55,152,152,-27.55,,,,"Trilok Agarwal , Bhargav Buddhadev",1-Dec-17,4.55,41.97,11.46,25.2,18.92,-22.38,-0.31,-12.2,-8.78,S&P BSE 500 Total Return Index,1.01,0.84,-18.94,23.16,0,0,8.57,0,0,68.27,100,100
Ambit Investment Advisors - Good & Clean,Ambit Investment Advisors  Limited,PMS,437.96,-6.89,14.25,17.23,1.44,Equity,Equity: Mid Cap,-0.77,0.57,-1.18,0.98,-20.87,213,305,-25.63,,,,Trilok Agarwal ,12-Mar-15,4.77,31.77,12.41,15.35,15.51,-11.87,8.86,-12.32,-1.45,S&P BSE 500 Total Return Index,0.99,1,-25.41,12.69,0.04,0,5.2,0,0,82.11,99.96,100
Negen Capital - Special Situations & Technology Fund,Negen Capital,PMS,1319.39,4.92,26.53,37.66,-0.14,Equity,Equity: Multi Cap,0.07,0.84,0.12,1.55,-21.63,119,119,-21.63,58,58,,Neil Madan Bahal,10-Aug-17,2.8,32.02,18.76,23.73,20.88,1.33,17.19,1.06,7,S&P BSE 500 Total Return Index,1.29,1.02,-50.31,29.13,9.21,0,1.67,0,0,69.2,90.79,100
SBI MF - ESG Portfolio,SBI MF,PMS,666.38,-1.33,12.6,23.77,0.5,Equity,Equity: Multi Cap,-0.4,0.54,-0.58,0.89,-16.78,82,160,-19.28,,,,Gaurav Mehta,8-Jul-16,,,15.08,14.77,13.4,-5.61,8.4,-8.45,0.25,NIFTY 50 Total Return Index,1.06,0.86,-21.12,16.98,2.43,0,2.24,0.48,0,80.78,97.1,100
